Afghanistan,78.19
Albania,47.01
Algeria,53.25
Angola,66.66
Argentina,64.09
Armenia,21.75
Australia,44.83
Austria,26.82
Azerbaijan,31.73
Bahamas,62.91
Bahrain,24.95
Bangladesh,63.06
Barbados,46.94
Belarus,57.18
Belgium,46.71
Belize,51.97
Bolivia,58.44
Bosnia And Herzegovina,42.71
Botswana,53.70
Brazil,66.79
Brunei,29.55
Bulgaria,38.37
Cambodia,51.72
Cameroon,65.26
Canada,43.63
Chile,56.51
China,28.82
Colombia,58.71
Costa Rica,53.86
Croatia,23.99
Cuba,31.72
Cyprus,31.06
Czech Republic,25.78
Denmark,26.34
Dominican Republic,61.49
Ecuador,57.87
Egypt,46.61
El Salvador,67.59
Estonia,24.14
Ethiopia,49.42
Fiji,57.09
Finland,26.84
France,54.39
Georgia,25.25
Germany,37.01
Ghana,46.25
Greece,47.97
Guatemala,57.99
Guyana,68.93
Honduras,74.66
Hong Kong,21.62
Hungary,33.91
Iceland,24.30
India,44.57
Indonesia,46.06
Iran,49.75
Iraq,46.17
Ireland,45.87
Isle Of Man,18.28
Israel,32.18
Italy,46.24
Jamaica,68.29
Japan,22.24
Jordan,41.01
Kazakhstan,53.04
Kenya,56.33
Kosovo (Disputed Territory),43.41
Kuwait,33.01
Kyrgyzstan,55.88
Latvia,38.49
Lebanon,46.59
Libya,60.59
Lithuania,32.55
Luxembourg,35.58
Malaysia,54.37
Maldives,55.13
Malta,43.72
Mauritius,48.78
Mexico,53.90
Moldova,47.43
Monaco,24.92
Mongolia,54.46
Montenegro,40.39
Morocco,47.37
Mozambique,62.94
Myanmar,47.83
Namibia,64.97
Nepal,37.77
Netherlands,27.57
New Zealand,44.61
Nicaragua,48.10
Nigeria,64.09
North Korea,58.07
North Macedonia,40.97
Norway,33.51
Oman,19.72
Pakistan,41.56
Palestine,41.91
Panama,43.61
Papua New Guinea,80.26
Paraguay,49.01
Peru,67.24
Philippines,42.36
Poland,32.13
Portugal,31.53
Puerto Rico,61.77
Qatar,14.15
Romania,32.50
Russia,39.32
Rwanda,25.54
Saudi Arabia,24.62
Serbia,38.18
Singapore,27.22
Slovakia,30.54
Slovenia,23.17
Somalia,66.41
South Africa,75.37
South Korea,26.13
Spain,34.97
Sri Lanka,40.97
Sudan,45.59
Sweden,48.77
Switzerland,22.12
Syria,67.47
Taiwan,16.15
Tanzania,55.79
Thailand,38.92
Trinidad And Tobago,70.57
Tunisia,43.94
Turkey,39.89
Uganda,55.59
Ukraine,46.57
United Arab Emirates,14.87
United Kingdom,46.62
United States,48.41
Uruguay,52.13
Us Virgin Islands,61.24
Uzbekistan,33.68
Venezuela,83.16
Vietnam,45.76
Zambia,46.64
Zimbabwe,59.61
